year,cumCapKw,cost_per_kw,cost_per_kw_lb,cost_per_kw_ub,learning,country,scenario
2025-01-01,1122707674.129994,195.37513261237004,160.00383593201408,238.09488433811956,National,China,National Trends
2026-01-01,1209815522.61618,187.31759743371833,152.1523948565203,230.35524979016282,National,China,National Trends
2027-01-01,1297124304.6120827,180.1035192146674,144.9520232995558,223.51599133083224,National,China,National Trends
2028-01-01,1383603541.84537,173.66968671143138,138.6534234283228,217.29382959138,National,China,National Trends
2029-01-01,1467992308.0290828,167.97021452007394,133.2149569632802,211.83058308270063,National,China,National Trends
2030-01-01,1548760982.6469812,162.9754668114146,128.37340733060557,207.0097911884981,National,China,National Trends
2020-01-01,713970000,357.1379195256711,326.191578938663,390.1407638825093,Global,Germany,National Trends
2021-01-01,795871594.4549509,344.6977310668565,312.8192016827253,379.0571439226779,Global,Germany,National Trends
2022-01-01,887168361.2200315,332.6908718078542,299.6715791288901,368.36924702554944,Global,Germany,National Trends
2023-01-01,988938048.0890965,321.1022475886341,287.22900995501635,358.03808186295896,Global,Germany,National Trends
2024-01-01,1102382034.469006,309.91729002418106,275.11126079316836,348.2050783232504,Global,Germany,National Trends
2025-01-01,1228839513.5248547,299.12193819017085,263.3742802266372,338.8276157804632,Global,Germany,National Trends
2026-01-01,1369803301.200712,288.7026209465863,252.01665641859117,329.5712561056188,Global,Germany,National Trends
2027-01-01,1526937458.7395353,278.6462398770564,241.40852294067554,320.46784083634014,Global,Germany,National Trends
2028-01-01,1702096936.7340713,268.940152822468,231.20836183755742,311.7494124045455,Global,Germany,National Trends
2029-01-01,1897349472.6044974,259.5721579881546,221.38380940895314,303.4603367257098,Global,Germany,National Trends
2030-01-01,2115000000.0000021,250.53047860467507,212.0342759082363,295.2398633424811,Global,Germany,National Trends
2020-01-01,713970000,357.1379195256711,326.191578938663,390.1407638825093,National,Germany,National Trends
2021-01-01,788042505.2764058,345.81203106637423,314.0224715160031,380.06302489458886,National,Germany,National Trends
2022-01-01,861850539.8715253,335.8505056398717,303.1349264889465,371.2088811163398,National,Germany,National Trends
2023-01-01,934322855.5250193,327.1132728587972,293.65692860841057,363.39532617337096,National,Germany,National Trends
2024-01-01,1004144377.7134858,319.50655545486813,285.412432203739,356.67026086060883,National,Germany,National Trends
2025-01-01,1069714317.7615081,312.97595638279523,278.3361589833857,350.9293255965816,National,Germany,National Trends
2026-01-01,1129097884.257919,307.5039105229559,272.4531820629942,346.10868365068075,National,Germany,National Trends
2027-01-01,1179970676.8249269,303.11123980343007,267.67644990909236,342.2665323303795,National,Germany,National Trends
2028-01-01,1219554719.181972,299.8635192196925,264.1601188808392,339.488257867798,National,Germany,National Trends
2029-01-01,1244544945.4785616,297.8843051981419,262.0593166150121,337.71721363221474,National,Germany,National Trends
2030-01-01,1251024791.8320909,297.3796961640512,261.5192243785526,337.2605421753525,National,Germany,National Trends
2020-01-01,713970000,424.0209149864825,384.36643002769824,466.8977494606871,Global,U.S.,Sustainable Development
2021-01-01,827555195.3881335,397.2991708100462,356.4177386534166,442.22777060899256,Global,U.S.,Sustainable Development
2022-01-01,959210613.0704257,372.2614275557182,330.35182852299164,418.88626902309295,Global,U.S.,Sustainable Development
2023-01-01,1111811037.3235116,348.8015596993976,305.66896133974126,397.1020104682196,Global,U.S.,Sustainable Development
2024-01-01,1288688600.679219,326.8201297340227,283.0479500354328,376.18097879331,Global,U.S.,Sustainable Development
2025-01-01,1493705543.271498,306.2239666915916,262.12917617358727,356.699357679229,Global,U.S.,Sustainable Development
2026-01-01,1731338547.4381032,286.92577122666427,242.56694309776427,338.34225883676277,Global,U.S.,Sustainable Development
2027-01-01,2006776489.0795786,268.84374558745645,224.27654690138996,320.8644943195355,Global,U.S.,Sustainable Development
2028-01-01,2326033740.2419753,251.90124690610705,207.69350116877038,304.6615991456405,Global,U.S.,Sustainable Development
2029-01-01,2696081496.961131,236.02646233854605,192.11221296381638,289.02031848800783,Global,U.S.,Sustainable Development
2030-01-01,3125000000.0000005,221.15210467701166,177.68349847727035,274.21212037568233,Global,U.S.,Sustainable Development
2020-01-01,713970000,424.0209149864825,384.36643002769824,466.8977494606871,National,U.S.,Sustainable Development
2021-01-01,817687214.9064763,399.40608575985163,358.6051528677446,444.0179111299326,National,U.S.,Sustainable Development
2022-01-01,926469711.2613059,378.00550486829957,336.3390204641001,424.37071643026746,National,U.S.,Sustainable Development
2023-01-01,1039307404.6661106,359.3281456907795,316.635779781277,407.02382843504734,National,U.S.,Sustainable Development
2024-01-01,1154741149.5018916,343.0235112161318,299.7380268377693,391.6212297387186,National,U.S.,Sustainable Development
2025-01-01,1270745506.2085214,328.84682830640855,285.1610485267129,378.2123391779421,National,U.S.,Sustainable Development
2026-01-01,1384585586.6272888,316.6393845081143,272.795273370887,366.5163207811976,National,U.S.,Sustainable Development
2027-01-01,1492642698.8635972,306.3200865949394,262.23301878715085,356.78766398268175,National,U.S.,Sustainable Development
2028-01-01,1590202490.0250068,297.8873450690223,253.69106302315424,348.7949853837584,National,U.S.,Sustainable Development
2029-01-01,1671198070.2115107,291.4333657533645,247.1687259996575,342.6907143541194,National,U.S.,Sustainable Development
2030-01-01,1727899159.1323705,287.17744481419516,242.83028885035193,338.5730677491801,National,U.S.,Sustainable Development
2020-01-01,713970000,252.15558589220794,217.85605796519482,291.3205024393358,Global,China,Sustainable Development
2021-01-01,827555195.3881335,232.02311940567992,197.22782281497828,272.54514645676926,Global,China,Sustainable Development
2022-01-01,959210613.0704257,213.49805814635295,178.17027146602905,255.15440663687747,Global,China,Sustainable Development
2023-01-01,1111811037.3235116,196.45206455726895,161.0542783950969,239.1000606930377,Global,China,Sustainable Development
2024-01-01,1288688600.679219,180.7670477375374,145.62395351728048,224.1604746560175,Global,China,Sustainable Development
2025-01-01,1493705543.271498,166.33434533450475,131.62651453945725,210.266079328323,Global,China,Sustainable Development
2026-01-01,1731338547.4381032,153.0539707548311,118.72436889650899,197.1517231117968,Global,China,Sustainable Development
2027-01-01,2006776489.0795786,140.83392047932793,107.11541454427429,185.17403580026993,Global,China,Sustainable Development
2028-01-01,2326033740.2419753,129.58953668277593,96.61838211735916,173.71255915427597,Global,China,Sustainable Development
2029-01-01,2696081496.961131,119.24292074309955,87.1275380435863,162.75150437403042,Global,China,Sustainable Development
2030-01-01,3125000000.0000005,109.72239357681894,78.60276919040125,152.69569700744938,Global,China,Sustainable Development
2020-01-01,713970000,252.15558589220794,217.85605796519482,291.3205024393358,National,China,Sustainable Development
2021-01-01,820158508.3757943,233.20018806551346,198.43280027833953,273.6283628829556,National,China,Sustainable Development
2022-01-01,934714517.3218955,216.63376181683566,181.43331067294426,258.12477322990003,National,China,Sustainable Development
2023-01-01,1057668223.3430523,202.05827379368014,166.58204993860312,244.32278005819754,National,China,Sustainable Development
2024-01-01,1188856965.8992178,189.17169868066043,153.97076585042203,232.17969895577818,National,China,Sustainable Development
2025-01-01,1327864664.5999599,177.74155718087715,142.62914781905417,221.25279205076527,National,China,Sustainable Development
2026-01-01,1473947130.4682612,167.58740260455153,132.8426232425137,211.48305319523436,National,China,Sustainable Development
2027-01-01,1625940333.6335654,158.56909977041283,124.02911209240143,202.68705263904332,National,China,Sustainable Development
2028-01-01,1782148146.4082296,150.57905752621602,116.3754023350485,194.75786992062615,National,China,Sustainable Development
2029-01-01,1940205413.118844,143.53736296723594,109.70837752635471,187.89133673201675,National,China,Sustainable Development
2030-01-01,2096911407.6251683,137.3892901554179,103.83321163074491,181.7306174041934,National,China,Sustainable Development
2020-01-01,713970000,357.1379195256711,326.191578938663,390.1407638825093,Global,Germany,Sustainable Development
2021-01-01,827555195.3881335,340.3324687440939,308.08947363976915,375.20116678769637,Global,Germany,Sustainable Development
2022-01-01,959210613.0704257,324.3178137882498,290.662301860706,360.88520001799685,Global,Germany,Sustainable Development
2023-01-01,1111811037.3235116,309.0567430387591,274.1693189291167,347.46256507020615,Global,Germany,Sustainable Development
2024-01-01,1288688600.679219,294.5137959029558,258.3274532454385,334.71982742754034,Global,Germany,Sustainable Development
2025-01-01,1493705543.271498,280.6551804187301,243.5317103427659,322.2202205924772,Global,Germany,Sustainable Development
2026-01-01,1731338547.4381032,267.44869473559135,229.66911727884357,310.4515211270721,Global,Germany,Sustainable Development
